Periodo,Tasa Natalidad bruta
2007-05-31,10.854166666666668
2007-04-30,10.853333333333332
2007-03-31,10.8525
2007-02-28,10.851666666666667
2007-01-31,10.850833333333332
2006-12-31,10.85
2006-11-30,10.833333333333348
2006-10-31,10.81666666666665
2006-09-30,10.8
2006-08-31,10.78333333333335
2006-07-31,10.766666666666652
2006-06-30,10.75
2006-05-31,10.733333333333348
2006-04-30,10.71666666666665
2006-03-31,10.7
2006-02-28,10.68333333333335
2006-01-31,10.666666666666652
2005-12-31,10.65
2005-11-30,10.64333333333334
2005-10-31,10.636666666666661
2005-09-30,10.63
2005-08-31,10.62333333333334
2005-07-31,10.616666666666662
2005-06-30,10.61
2005-05-31,10.603333333333339
2005-04-30,10.59666666666666
2005-03-31,10.59
2005-02-28,10.58333333333334
2005-01-31,10.57666666666666
2004-12-31,10.57
2004-11-30,10.559166666666677
2004-10-31,10.548333333333323
2004-09-30,10.5375
2004-08-31,10.526666666666676
2004-07-31,10.515833333333324
2004-06-30,10.504999999999999
2004-05-31,10.494166666666676
2004-04-30,10.483333333333324
2004-03-31,10.4725
2004-02-29,10.461666666666677
2004-01-31,10.450833333333323
2003-12-31,10.44
2003-11-30,10.410000000000027
2003-10-31,10.379999999999972
2003-09-30,10.35
2003-08-31,10.320000000000027
2003-07-31,10.289999999999973
2003-06-30,10.26
2003-05-31,10.230000000000027
2003-04-30,10.199999999999973
2003-03-31,10.17
2003-02-28,10.140000000000027
2003-01-31,10.109999999999973
2002-12-31,10.08
2002-11-30,10.068333333333344
2002-10-31,10.056666666666656
2002-09-30,10.045
2002-08-31,10.033333333333344
2002-07-31,10.021666666666656
2002-06-30,10.01
2002-05-31,9.998333333333344
2002-04-30,9.986666666666656
2002-03-31,9.975
2002-02-28,9.963333333333344
2002-01-31,9.951666666666656
2001-12-31,9.94
2001-11-30,9.926666666666678
2001-10-31,9.913333333333322
2001-09-30,9.899999999999999
2001-08-31,9.886666666666677
2001-07-31,9.87333333333332
2001-06-30,9.86
2001-05-31,9.846666666666678
2001-04-30,9.833333333333321
2001-03-31,9.82
2001-02-28,9.806666666666679
2001-01-31,9.79333333333332
2000-12-31,9.78
2000-11-30,9.747500000000029
2000-10-31,9.71499999999997
2000-09-30,9.6825
2000-08-31,9.650000000000029
2000-07-31,9.61749999999997
2000-06-30,9.585
2000-05-31,9.55250000000003
2000-04-30,9.519999999999971
2000-03-31,9.4875
2000-02-29,9.45500000000003
2000-01-31,9.422499999999971
1999-12-31,9.39
1999-11-30,9.362500000000026
1999-10-31,9.334999999999976
1999-09-30,9.307500000000001
1999-08-31,9.280000000000026
1999-07-31,9.252499999999976
1999-06-30,9.225000000000001
1999-05-31,9.197500000000026
1999-04-30,9.169999999999975
1999-03-31,9.1425
1999-02-28,9.115000000000025
1999-01-31,9.087499999999975
1998-12-31,9.06
1998-11-30,9.071666666666657
1998-10-31,9.083333333333345
1998-09-30,9.095
1998-08-31,9.106666666666657
1998-07-31,9.118333333333345
1998-06-30,9.129999999999999
1998-05-31,9.141666666666655
1998-04-30,9.153333333333343
1998-03-31,9.165
1998-02-28,9.176666666666655
1998-01-31,9.188333333333343
1997-12-31,9.2
1997-11-30,9.189166666666676
1997-10-31,9.178333333333322
1997-09-30,9.1675
1997-08-31,9.156666666666677
1997-07-31,9.145833333333323
1997-06-30,9.135
1997-05-31,9.124166666666676
1997-04-30,9.113333333333323
1997-03-31,9.1025
1997-02-28,9.091666666666677
1997-01-31,9.080833333333324
1996-12-31,9.07
1996-11-30,9.07666666666666
1996-10-31,9.08333333333334
1996-09-30,9.09
1996-08-31,9.09666666666666
1996-07-31,9.103333333333339
1996-06-30,9.11
1996-05-31,9.116666666666662
1996-04-30,9.12333333333334
1996-03-31,9.13
1996-02-29,9.136666666666661
1996-01-31,9.14333333333334
1995-12-31,9.15
1995-11-30,9.166666666666652
1995-10-31,9.18333333333335
1995-09-30,9.2
1995-08-31,9.21666666666665
1995-07-31,9.233333333333348
1995-06-30,9.25
1995-05-31,9.266666666666652
1995-04-30,9.28333333333335
1995-03-31,9.3
1995-02-28,9.31666666666665
1995-01-31,9.333333333333348
1994-12-31,9.35
1994-11-30,9.387499999999966
1994-10-31,9.425000000000034
1994-09-30,9.4625
1994-08-31,9.499999999999966
1994-07-31,9.537500000000033
1994-06-30,9.575
1994-05-31,9.612499999999967
1994-04-30,9.650000000000034
1994-03-31,9.6875
1994-02-28,9.724999999999966
1994-01-31,9.762500000000035
1993-12-31,9.8
1993-11-30,9.827499999999976
1993-10-31,9.855000000000025
1993-09-30,9.8825
1993-08-31,9.909999999999975
1993-07-31,9.937500000000025
1993-06-30,9.965
1993-05-31,9.992499999999975
1993-04-30,10.020000000000026
1993-03-31,10.047500000000001
1993-02-28,10.074999999999976
1993-01-31,10.102500000000026
1992-12-31,10.13
1992-11-30,10.132499999999999
1992-10-31,10.135000000000003
1992-09-30,10.137500000000001
1992-08-31,10.139999999999999
1992-07-31,10.142500000000004
1992-06-30,10.145
1992-05-31,10.147499999999997
1992-04-30,10.150000000000002
1992-03-31,10.1525
1992-02-29,10.154999999999998
1992-01-31,10.157500000000002
1991-12-31,10.16
1991-11-30,10.173333333333321
1991-10-31,10.186666666666678
1991-09-30,10.2
1991-08-31,10.213333333333322
1991-07-31,10.226666666666679
1991-06-30,10.24
1991-05-31,10.253333333333321
1991-04-30,10.266666666666678
1991-03-31,10.280000000000001
1991-02-28,10.293333333333322
1991-01-31,10.306666666666679
1990-12-31,10.32
1990-11-30,10.33583333333332
1990-10-31,10.35166666666668
1990-09-30,10.3675
1990-08-31,10.383333333333319
1990-07-31,10.399166666666682
1990-06-30,10.415
1990-05-31,10.430833333333318
1990-04-30,10.446666666666681
1990-03-31,10.4625
1990-02-28,10.47833333333332
1990-01-31,10.49416666666668
1989-12-31,10.51
1989-11-30,10.533333333333312
1989-10-31,10.556666666666688
1989-09-30,10.58
1989-08-31,10.603333333333312
1989-07-31,10.626666666666688
1989-06-30,10.649999999999999
1989-05-31,10.67333333333331
1989-04-30,10.696666666666687
1989-03-31,10.719999999999999
1989-02-28,10.743333333333311
1989-01-31,10.766666666666687
1988-12-31,10.79
1988-11-30,10.809166666666648
1988-10-31,10.82833333333335
1988-09-30,10.8475
1988-08-31,10.86666666666665
1988-07-31,10.88583333333335
1988-06-30,10.905
1988-05-31,10.924166666666649
1988-04-30,10.94333333333335
1988-03-31,10.962499999999999
1988-02-29,10.98166666666665
1988-01-31,11.00083333333335
1987-12-31,11.02
1987-11-30,11.048333333333307
1987-10-31,11.076666666666693
1987-09-30,11.105
1987-08-31,11.133333333333306
1987-07-31,11.161666666666692
1987-06-30,11.19
1987-05-31,11.218333333333307
1987-04-30,11.246666666666691
1987-03-31,11.274999999999999
1987-02-28,11.303333333333306
1987-01-31,11.331666666666692
1986-12-31,11.36
1986-11-30,11.400833333333296
1986-10-31,11.441666666666704
1986-09-30,11.4825
1986-08-31,11.523333333333296
1986-07-31,11.564166666666702
1986-06-30,11.605
1986-05-31,11.645833333333297
1986-04-30,11.686666666666703
1986-03-31,11.7275
1986-02-28,11.768333333333295
1986-01-31,11.809166666666703
1985-12-31,11.85
1985-11-30,11.890833333333296
1985-10-31,11.931666666666704
1985-09-30,11.9725
1985-08-31,12.013333333333296
1985-07-31,12.054166666666703
1985-06-30,12.094999999999999
1985-05-31,12.135833333333295
1985-04-30,12.176666666666703
1985-03-31,12.2175
1985-02-28,12.258333333333296
1985-01-31,12.299166666666704
1984-12-31,12.34
1984-11-30,12.370833333333305
1984-10-31,12.401666666666694
1984-09-30,12.432500000000001
